14 1000 10000 0.95 500 1 0 inf 50331 73559.4 0 0 0.268893 0.17725 0 1326.91 580.688 135.27
28 1000 10000 0.95 500 1 0 inf 86301.8 123875 0 0 0.312204 0.20523 0 1548.7 1029.2 54.1063
42 1000 10000 0.95 500 1 0 inf 119435 166984 0 0 0.342426 0.238233 0 1676.62 1213.19 6.03617
56 1000 10000 0.95 500 1 0 inf 146817 207223 0 0 0.374006 0.25778 0 1825.42 1314.49 1.24714
70 1000 10000 0.95 500 1 0 inf 166632 238292 0 0 0.410184 0.279891 0 2015.38 1428.69 1.65751
84 1000 10000 0.95 500 1 0 inf 184102 261881 0 0 0.445559 0.300498 0 2182.74 1536.9 1.18976
98 1000 10000 0.95 500 1 0 inf 200027 298409 0 0 0.482228 0.308533 0 2350.01 1567.71 1.17284
112 1000 10000 0.95 500 1 0 inf 212718 324909 0 0 0.511069 0.321263 0 2460.54 1627.9 1.5996
126 1000 10000 0.95 500 1 0 inf 214268 323042 0 0 0.533568 0.340134 0 2598.17 1743.1 5.0948
140 1000 10000 0.95 500 1 0 inf 224169 343006 0 0 0.561567 0.351257 0 2769.18 1839.61 2.18577
154 1000 10000 0.95 500 1 0 inf 237547 353744 0 0 0.589439 0.371986 0 2904.08 1967.82 2.66744
168 1000 10000 0.95 500 1 0 inf 241565 367344 0 0 0.632225 0.397741 0 3156.74 2117.26 0.641147
182 1000 10000 0.95 500 1 0 inf 253072 382891 0 0 0.659106 0.417407 0 3269.51 2212.81 0.719662
196 1000 10000 0.95 500 1 0 inf 262656 396929 0 0 0.693547 0.440472 0 3406.04 2323.37 0.927674
210 1000 10000 0.95 500 1 0 inf 268746 409832 0 0 0.738397 0.469143 0 3605.32 2448.66 1.30317
224 1000 10000 0.95 500 1 0 inf 276354 419465 0 0 0.78079 0.497576 0 3720.44 2548.87 0.895907
