14 10000 10000 1 16 16 67001 1.58977e+06 1.48959e+06 0
28 10000 10000 1 16 16 65865.3 3.0675e+06 2.92391e+06 0
42 10000 10000 1 16 16 66537 4.38845e+06 4.24263e+06 0
56 10000 10000 1 16 16 71346.4 5.49731e+06 5.45164e+06 0
70 10000 10000 1 16 16 71963.9 6.49427e+06 6.52928e+06 0
84 10000 10000 1 16 16 71009.9 7.08989e+06 7.45655e+06 0
98 10000 10000 1 16 16 73185.2 7.36126e+06 7.88823e+06 0
112 10000 10000 1 16 16 71670 7.46815e+06 7.72427e+06 0
126 10000 10000 1 16 16 74912.5 6.90894e+06 8.45423e+06 0
140 10000 10000 1 16 16 74521.5 6.93783e+06 7.58341e+06 0
154 10000 10000 1 16 16 75753.1 7.18917e+06 7.85283e+06 0
168 10000 10000 1 16 16 75022.4 7.30461e+06 8.0549e+06 0
182 10000 10000 1 16 16 76911.9 9.04079e+06 1.02807e+07 0
196 10000 10000 1 16 16 75706 8.70798e+06 1.06085e+07 0
210 10000 10000 1 16 16 75265.9 7.68171e+06 1.01934e+07 0
224 10000 10000 1 16 16 74774.3 7.81804e+06 1.01865e+07 0
